Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock
Souch Mini Pack,Cosmetic Item,,,pcs,,Local,,2.50,NA,0,Inclusive,3.00,65
Mearil Saban,Cosmetic Item,,,pcs,,Local,,45.00,NA,0,Inclusive,50.00,38
Dov Shampoo Small 170,Cosmetic Item,,,pcs,,Local,,220.00,NA,0,Inclusive,240.00,3
Set Wet Boday Spray,Cosmetic Item,,,pcs,,Local,,260.00,NA,0,Inclusive,290.00,8
Havok Boday Spray,Cosmetic Item,,,pcs,,Local,,290.00,NA,0,Inclusive,320.00,4
Nevia Sport Cream 100 g,Cosmetic Item,,,pcs,,Local,,230.00,NA,0,Inclusive,246.00,7
Mix Nut Small,Cosmetic Item,,,pcs,,Local,,210.00,NA,0,Inclusive,230.00,9
High Speed Colop,Cosmetic Item,,,pcs,,Local,,390.00,NA,0,Inclusive,430.00,3
G Sock Watch,Cosmetic Item,,,pcs,,Local,,580.00,NA,0,Inclusive,640.00,1
Parachute Bag,Cosmetic Item,,,pcs,,Local,,480.00,NA,0,Inclusive,530.00,1
Wild Storn Spray,Cosmetic Item,,,pcs,,Local,,365.00,NA,0,Inclusive,400.00,1
BRUT Boday Spray,Cosmetic Item,,,pcs,,Local,,290.00,NA,0,Inclusive,320.00,8
Baisakhi Lungi,Cosmetic Item,,,pcs,,Local,,350.00,NA,0,Inclusive,400.00,5
Nevia Men Fachwash,Cosmetic Item,,,pcs,,Local,,165.00,NA,0,Inclusive,175.00,0
Mango Icecream,Cosmetic Item,,,pcs,,Local,,43.00,NA,0,Inclusive,50.00,27
Ice Gur Dates,Cosmetic Item,,,pcs,,Local,,25.00,NA,0,Inclusive,30.00,43
Neptuli,Cosmetic Item,,,pcs,,Local,,10.00,NA,0,Inclusive,12.00,3
Round neck Baby Genji,Cosmetic Item,,,pcs,,Local,,120.00,NA,0,Inclusive,150.00,5
Army Colour School Bag,Cosmetic Item,,,pcs,,Local,,330.00,NA,0,Inclusive,350.00,4
Camo Colour Genji,Cosmetic Item,,,pcs,,Local,,200.00,NA,0,Inclusive,220.00,19
Safety Pin,Cosmetic Item,,,pcs,,Local,,12.00,NA,0,Inclusive,15.00,24
Guard Saving Fom 190 g,Cosmetic Item,,,pcs,,Local,,250.00,NA,0,Inclusive,275.00,23
Fashion Saving Jel 200 ml,Cosmetic Item,,,pcs,,Local,,450.00,NA,0,Inclusive,495.00,5
Ponds Men Fashwash 100 g,Cosmetic Item,,,pcs,,Local,,230.00,NA,0,Inclusive,253.00,7
Ponds Men Fashwash 50 g,Cosmetic Item,,,pcs,,Local,,140.00,NA,0,Inclusive,154.00,6
Garnier Men Fashwash 100 g,Cosmetic Item,,,pcs,,Local,,280.00,NA,0,Inclusive,308.00,9
Clean & Clear Fashwash 100 ml,Cosmetic Item,,,pcs,,Local,,230.00,NA,0,Inclusive,253.00,10
Clean & Clea Fashwash 50 ml,Cosmetic Item,,,pcs,,Local,,133.00,NA,0,Inclusive,145.00,2
Ponds Body Lotion 200 ml,Cosmetic Item,,,pcs,,Local,,216.00,NA,0,Inclusive,236.00,9
Ponds Body Lotion 100 ml,Cosmetic Item,,,pcs,,Local,,125.00,NA,0,Inclusive,136.00,12
Refive Body Lotion 200 ml,Cosmetic Item,,,pcs,,Local,,208.00,NA,0,Inclusive,228.00,10
Refive Body Lotion 100 ml,Cosmetic Item,,,pcs,,Local,,125.00,NA,0,Inclusive,136.00,9
Laufes Boday Lotion 250 ml,Cosmetic Item,,,pcs,,Local,,280.00,NA,0,Inclusive,310.00,2
Vaseline Lotion 200 ml,Cosmetic Item,,,pcs,,Local,,246.00,NA,0,Inclusive,270.00,18
Vaseline Lotion 100 ml,Cosmetic Item,,,pcs,,Local,,152.00,NA,0,Inclusive,165.00,0
Vaseline Lotion IC 200 ml,Cosmetic Item,,,pcs,,Local,,236.00,NA,0,Inclusive,260.00,15
Nevia Cream Germany 60 ml,Cosmetic Item,,,pcs,,Local,,220.00,NA,0,Inclusive,240.00,1
Nevia Cream Germany 30 ml,Cosmetic Item,,,pcs,,Local,,136.00,NA,0,Inclusive,150.00,5
Hemilaya  Men Facewash 100 g,Cosmetic Item,,,pcs,,Local,,195.00,NA,0,Inclusive,215.00,6
Ponds Cold Cream 28 ml,Cosmetic Item,,,pcs,,Local,,59.00,NA,0,Inclusive,65.00,12
Ponds Cold Cream 50 ml,Cosmetic Item,,,pcs,,Local,,120.00,NA,0,Inclusive,130.00,3
Vaselina Jeli Liver 9 ml,Cosmetic Item,,,pcs,,Local,,12.00,NA,0,Inclusive,15.00,28
Vaselina Jeli Liver 50 ml,Cosmetic Item,,,pcs,,Local,,44.00,NA,0,Inclusive,50.00,12
Merril Petroleum Jeli 15 ml,Cosmetic Item,,,pcs,,Local,,21.00,NA,0,Inclusive,25.00,20
Merril Petroleum Jeli 50 ml,Cosmetic Item,,,pcs,,Local,,56.00,NA,0,Inclusive,60.00,18
Merril Lip Jel,Cosmetic Item,,,pcs,,Local,,35.00,NA,0,Inclusive,40.00,17
Laufes Lip Bum,Cosmetic Item,,,pcs,,Local,,95.00,NA,0,Inclusive,105.00,3
Mens Fair Lovely 25 g,Cosmetic Item,,,pcs,,Local,,92.00,NA,0,Inclusive,100.00,3
Denver Boday Perfume,Cosmetic Item,,,pcs,,Local,,330.00,NA,0,Inclusive,360.00,10
Sensodyne Truth Brush,Cosmetic Item,,,pcs,,Local,,20.00,NA,0,Inclusive,25.00,2
Denver Perfume 60 ml,Cosmetic Item,,,pcs,,Local,,440.00,NA,0,Inclusive,480.00,5
Fogg Perfume Black 120 ml,Cosmetic Item,,,pcs,,Local,,280.00,NA,0,Inclusive,308.00,6
Fogg Master Body Spray 120 ml,Cosmetic Item,,,pcs,,Local,,275.00,NA,0,Inclusive,300.00,4
Dov Saban 135 g,Cosmetic Item,,,pcs,,Local,,190.00,NA,0,Inclusive,200.00,2
Tourch Light N 8676,Cosmetic Item,,,pcs,,Local,,125.00,NA,0,Inclusive,140.00,10
Secret Koret Body Spray 150 ml,Cosmetic Item,,,pcs,,Local,,260.00,NA,0,Inclusive,275.00,6
Multi Plug Big ,Cloth,,,pcs,,Local,,170.00,NA,0,Inclusive,190.00,4
Multi Plug Small,Cloth,,,pcs,,Local,,100.00,NA,0,Inclusive,110.00,2
Pillow Plimp ,Cloth,,,pcs,,Local,,230.00,NA,0,Inclusive,260.00,3
Thi Bag Medium,Cloth,,,pcs,,Local,,140.00,NA,0,Inclusive,155.00,6
Harmony Saban,Cosmetic Item,,,pcs,,Local,,27.00,NA,0,Inclusive,30.00,6
Rumal Pahari,Cloth,,,pcs,,Local,,15.00,NA,0,Inclusive,20.00,12
Rumal Alfa Box,Cloth,,,pcs,,Local,,40.00,NA,0,Inclusive,45.00,13
Vim Ber 300 g,Cosmetic Item,,,pcs,,Local,,35.00,NA,0,Inclusive,40.00,16
Rupa Dulex Boxer ,Cosmetic Item,,,pcs,,Local,,100.00,NA,0,Inclusive,110.00,23
SensodyneIndian 75 g,Cosmetic Item,,,pcs,,Local,,165.00,NA,0,Inclusive,180.00,6
Sensodyne Indian 40 g,Cosmetic Item,,,pcs,,Local,,100.00,NA,0,Inclusive,110.00,8
Denver Pocket perfume,Cosmetic Item,,,pcs,,Local,,85.00,NA,0,Inclusive,95.00,17
