Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock
Head & Sholder Shampo,Cosmetic,,,pcs,,Local,,315.00,NA,0,Inclusive,340.00,6
sunsilk Pot Shampo Small,Cosmetic,,,pcs,,Local,,73.00,NA,0,Inclusive,80.00,5
Layer Shot Perfume,Cosmetic,,,pcs,,Local,,295.00,NA,0,Inclusive,320.00,0
Meril Vasline Small,Cosmetic,,,pcs,,Local,,22.00,NA,0,Inclusive,25.00,10
Metal Polish Small,Army Item,,,pcs,,Local,,149.00,NA,0,Inclusive,160.00,17
Metal Polish Big ,Army Item,,,pcs,,Local,,375.00,NA,0,Inclusive,400.00,6
Out Pass Book,Army Item,,,pcs,,Local,,5.50,NA,0,Inclusive,7.00,127
Belko,Army Item,,,pcs,,Local,,2.40,NA,0,Inclusive,3.00,230
Divsign,Army Item,,,pcs,,Local,,4.00,NA,0,Inclusive,5.00,185
Cetona Card,Army Item,,,pcs,,Local,,8.00,NA,0,Inclusive,10.00,111
Safety pin,Army Item,,,pcs,,Local,,0.92,NA,0,Inclusive,1.00,12
Anti cutter ,Army Item,,,pcs,,Local,,30.00,NA,0,Inclusive,38.00,20
Pen pot,Army Item,,,pcs,,Local,,23.33,NA,0,Inclusive,26.00,2
Sick Book,Army Item,,,pcs,,Local,,22.00,NA,0,Inclusive,30.00,45
Note Book ,Army Item,,,pcs,,Local,,15.00,NA,0,Inclusive,20.00,18
Welfare Book,Army Item,,,pcs,,Local,,22.00,NA,0,Inclusive,25.00,97
Rank Warking,Army Item,,,Pair,,Local,,43.00,NA,0,Inclusive,50.00,50
Rank Combat,Army Item,,,Pair,,Local,,35.00,NA,0,Inclusive,40.00,60
Name Tag,Army Item,,,pcs,,Local,,23.00,NA,0,Inclusive,30.00,34
Bootless Alastic,Army Item,,,pcs,,Local,,2.50,NA,0,Inclusive,5.00,124
Belt Army-2,Army Item,,,pcs,,Local,,140.00,NA,0,Inclusive,150.00,3
Belt Army-1,Army Item,,,pcs,,Local,,175.00,NA,0,Inclusive,190.00,1
Boot Polish big,Army Item,,,pcs,,Local,,123.00,NA,0,Inclusive,130.00,64
Boot Polish small,Army Item,,,pcs,,Local,,76.00,NA,0,Inclusive,82.00,1
Boot Brush,Army Item,,,pcs,,Local,,28.00,NA,0,Inclusive,35.00,38
Disk Identity,Army Item,,,Pair,,Local,,20.00,NA,0,Inclusive,23.00,5
Vuri Suta,Army Item,,,Kg,,Local,,320.00,NA,0,Inclusive,350.00,3
Clip File,Army Item,,,pcs,,Local,,55.00,NA,0,Inclusive,60.00,0
cutter Blade,Army Item,,,pcs,,Local,,10.00,NA,0,Inclusive,15.00,1
Sena File,Army Item,,,pcs,,Local,,4.50,NA,0,Inclusive,5.00,92
ID Clip VIP,Army Item,,,pcs,,Local,,35.00,NA,0,Inclusive,40.00,4
