Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sale Price,Opening Stock,Barcode,Discount Type,Discount
Istapler Pin,NA,,,pc ,50,Local,,22.19,NA 0%,0.00,Inclusive,25,0,,Percentage,0
Bashundhara Khata,NA,,,pc ,50,Local,,44.88,NA 0%,0.00,Inclusive,50,0,,Percentage,0
Saban Cas,NA,,,pc ,50,Local,,12,NA 0%,0.00,Inclusive,15,26,,Percentage,0
Chaka Bol Saban,NA,,,pc ,50,Local,,21.94,NA 0%,0.00,Inclusive,24,35,,Percentage,0
Tibbot Saban,NA,,,pc ,50,Local,,24.55,NA 0%,0.00,Inclusive,27,100,,Percentage,0
Box Tesu,NA,,,pc ,50,Local,,65.79,NA 0%,0.00,Inclusive,75,0,,Percentage,0
Rabar,NA,,,pc ,50,Local,,2.5,NA 0%,0.00,Inclusive,5,13,,Percentage,0
Chakala Back,NA,,,pc ,50,Local,,1550,NA 0%,0.00,Inclusive,1650,1,,Percentage,0
Kalo Hapar (Bogura),NA,,,pc ,50,Local,,500,NA 0%,0.00,Inclusive,550,3,,Percentage,0
Moja (Small),NA,,,pc ,50,Local,,34,NA 0%,0.00,Inclusive,40,0,,Percentage,0
Chabir Ring,NA,,,pc ,50,Local,,15,NA 0%,0.00,Inclusive,20,29,,Percentage,0
Majone (Bode),NA,,,pc ,50,Local,,21.67,NA 0%,0.00,Inclusive,30,0,,Percentage,0
Bike Maks,NA,,,pc ,50,Local,,40,NA 0%,0.00,Inclusive,50,15,,Percentage,0
Sada-Rumal,NA,,,pc,50,Local,,8,NA 0%,0.00,Inclusive,10,50,,Percentage,0
Pt (Su),NA,,,pc ,50,Local,,250,NA 0%,0.00,Inclusive,300,1,,Percentage,0
Toilet Tissue (Sada),NA,,,pc ,50,Local,,1869,NA 0%,0.00,Inclusive,25,0,,Percentage,0
Rexsona,NA,,,pc ,50,Local,,170,NA 0%,0.00,Inclusive,190,3,,Percentage,0
Sada Rumal,NA,,,pc ,50,Local,,6.67,NA 0%,0.00,Inclusive,10,0,,Percentage,0
Cekes-sa Book-2,NA,,,pc ,50,Local,,17,NA 0%,0.00,Inclusive,25,25,,Percentage,0
Line Bading,NA,,,pc ,50,Local,,27,NA 0%,0.00,Inclusive,35,0,,Percentage,0
Gamachi Powder,NA,,,pc ,50,Local,,57,NA 0%,0.00,Inclusive,65,0,,Percentage,0
Magune(Crokares),NA,,,pc ,50,Local,,16.67,NA 0%,0.00,Inclusive,25,26,,Percentage,0
Gamsa (Sorkare),NA,,,pc ,50,Local,,95,NA 0%,0.00,Inclusive,110,6,,Percentage,0
Lux Saban,NA,,,pc ,50,Local,,52,NA 0%,0.00,Inclusive,58,0,,Percentage,0
School Back (Small),NA,,,pc ,50,Local,,325,NA 0%,0.00,Inclusive,370,2,,Percentage,0
Gange Black (21EB),NA,,,pc ,50,Local,,350,NA 0%,0.00,Inclusive,370,2,,Percentage,0
Bad Card,NA,,,pc ,50,Local,,3,NA 0%,0.00,Inclusive,5,168,,Percentage,0
