Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode,DISCOUNT TYPE,DISCOUNT,
Metal Polish Small-2,Army Item,,,pcs,,,,147.00,NA,0.00,Inclusive,157.00,12.00,,,,
Metal Polish Big ,Army Item,,,pcs,,,,375.00,NA,0.00,Inclusive,400.00,10.00,,,,
Out Pass Book,Army Item,,,pcs,,,,5.50,NA,0.00,Inclusive,8.00,160.00,,,,
Belko,Army Item,,,Yard,,,,12.00,NA,0.00,Inclusive,15.00,24.00,,,,
Divsign,Army Item,,,pcs,,,,4.00,NA,0.00,Inclusive,5.00,116.00,,,,
Chotena Card,Army Item,,,pcs,,,,8.00,NA,0.00,Inclusive,10.00,11.00,,,,
Safety pin,Army Item,,,dozen,,,,10.00,NA,0.00,Inclusive,12.00,5.00,,,,
Anti cutter ,Army Item,,,pcs,,,,30.00,NA,0.00,Inclusive,38.00,20.00,,,,
Pen pot,Army Item,,,pcs,,,,23.33,NA,0.00,Inclusive,26.00,6.00,,,,
Sick Book,Army Item,,,pcs,,,,22.00,NA,0.00,Inclusive,30.00,58.00,,,,
Note Book ,Army Item,,,pcs,,,,15.00,NA,0.00,Inclusive,20.00,45.00,,,,
Welfare Book,Army Item,,,pcs,,,,22.00,NA,0.00,Inclusive,25.00,100.00,,,,
Rank Warking,Army Item,,,Pair,,,,43.00,NA,0.00,Inclusive,50.00,55.00,,,,
Rank Combat,Army Item,,,Pair,,,,35.00,NA,0.00,Inclusive,40.00,91.00,,,,
Name Tag,Army Item,,,pcs,,,,23.00,NA,0.00,Inclusive,30.00,34.00,,,,
Bootless Alastic,Army Item,,,pcs,,,,5.00,NA,0.00,Inclusive,10.00,84.00,,,,
Belt Army-2,Army Item,,,pcs,,,,140.00,NA,0.00,Inclusive,150.00,4.00,,,,
Belt Army-1,Army Item,,,pcs,,,,175.00,NA,0.00,Inclusive,190.00,3.00,,,,
Boot Polish big,Army Item,,,pcs,,,,123.00,NA,0.00,Inclusive,130.00,45.00,,,,
Boot Polish small,Army Item,,,pcs,,,,76.00,NA,0.00,Inclusive,82.00,98.00,,,,
Boot Brush,Army Item,,,pcs,,,,28.00,NA,0.00,Inclusive,35.00,71.00,,,,
Dis Identity,Army Item,,,pair,,,,20.00,NA,0.00,Inclusive,23.00,13.00,,,,
Cotton Yarn,Army Item,,,kg,,,,320.00,NA,0.00,Inclusive,350.00,6.00,,,,
Clip File,Army Item,,,pcs,,,,55.00,NA,0.00,Inclusive,60.00,1.00,,,,
cutter Blade,Army Item,,,pcs,,,,10.00,NA,0.00,Inclusive,15.00,1.00,,,,
Sena File,Army Item,,,pcs,,,,4.50,NA,0.00,Inclusive,5.00,51.00,,,,
ID Clip VIP,Army Item,,,pcs,,,,35.00,NA,0.00,Inclusive,40.00,4.00,,,,
ID Clip,Army Item,,,pcs,,,,4.00,NA,0.00,Inclusive,5.00,75.00,,,,
ID Cover Mettal,Army Item,,,pcs,,,,30.00,NA,0.00,Inclusive,35.00,127.00,,,,
ID Cover Plastic,Army Item,,,pcs,,,,22.00,NA,0.00,Inclusive,30.00,54.00,,,,
Many bag,Army Item,,,pcs,,,,65.00,NA,0.00,Inclusive,90.00,0.00,,,,
Fog Flute ,Army Item,,,pcs,,,,48.00,NA,0.00,Inclusive,55.00,3.00,,,,
Pensil,Army Item,,,pcs,,,,4.72,NA,0.00,Inclusive,5.00,40.00,,,,
pensil Cutter,Army Item,,,pcs,,,,10.00,NA,0.00,Inclusive,12.00,20.00,,,,
Art Paper,Army Item,,,pcs,,,,8.50,NA,0.00,Inclusive,10.00,30.00,,,,
White Alastic,Army Item,,,pair,,,,4.00,NA,0.00,Inclusive,5.00,155.00,,,,
Training & Fire card,Army Item,,,pcs,,,,15.00,NA,0.00,Inclusive,20.00,47.00,,,,
Snake cut rope,Army Item,,,pcs,,,,6.00,NA,0.00,Inclusive,8.00,63.00,,,,
Swing kit,Army Item,,,pcs,,,,55.00,NA,0.00,Inclusive,60.00,73.00,,,,
13 Item list,Army Item,,,pcs,,,,4.00,NA,0.00,Inclusive,5.00,76.00,,,,
Cell dressing,Army Item,,,pcs,,,,150.00,NA,0.00,Inclusive,160.00,0.00,,,,
Silled,Army Item,,,kg,,,,580.00,NA,0.00,Inclusive,610.00,0.00,,,,
cotton stick,Army Item,,,pcs,,,,240.00,NA,0.00,Inclusive,260.00,9.00,,,,
Bottle Cover,Army Item,,,pcs,,,,42.00,NA,0.00,Inclusive,50.00,2.00,,,,
Sui Suta,Army Item,,,pair,,,,14.00,NA,0.00,Inclusive,17.00,18.00,,,,
Butam set,Army Item,,,Packet,,,,6.00,NA,0.00,Inclusive,8.00,84.00,,,,
Line Bading,Army Item,,,pcs,,,,20.00,NA,0.00,Inclusive,25.00,41.00,,,,
Bad Card,Army Item,,,pcs,,,,40.00,NA,0.00,Inclusive,45.00,0.00,,,,
Barrett Cap,Army Item,,,pcs,,,,120.00,NA,0.00,Inclusive,140.00,18.00,,,,
Ribon,Army Item,,,pcs,,,,4.00,NA,0.00,Inclusive,5.00,51.00,,,,
Gimme,Army Item,,,pcs,,,,28.00,NA,0.00,Inclusive,35.00,22.00,,,,
Docu Cover,Army Item,,,pcs,,,,22.00,NA,0.00,Inclusive,30.00,30.00,,,,
Medal 50 Yrs,Army Item,,,pcs,,,,120.00,NA,0.00,Inclusive,130.00,15.00,,,,
Bootless,Army Item,,,pcs,,,,6.00,NA,0.00,Inclusive,10.00,51.00,,,,
Mestine,Army Item,,,pcs,,,,280.00,NA,0.00,Inclusive,300.00,7.00,,,,
Army Mog,Army Item,,,pcs,,,,60.00,NA,0.00,Inclusive,70.00,68.00,,,,
ID Cover Normal,Army Item,,,pcs,,,,7.00,NA,0.00,Inclusive,10.00,29.00,,,,
Jhola,Army Item,,,pcs,,,,430.00,NA,0.00,Inclusive,450.00,5.00,,,,
Cap For Namaz-80,Stationery,,,pcs,,,,70.00,NA,0.00,Inclusive,80.00,11.00,,,,
Cap For Namaz-35,Stationery,,,pcs,,,,32.00,NA,0.00,Inclusive,35.00,7.00,,,,
Quran Sharif,Stationery,,,pcs,,,,360.00,NA,0.00,Inclusive,390.00,5.00,,,,
Jainamaz-550,Stationery,,,pcs,,,,500.00,NA,0.00,Inclusive,550.00,2.00,,,,
Jainamaz-460,Stationery,,,pcs,,,,425.00,NA,0.00,Inclusive,460.00,4.00,,,,
Lock 25 mm,Stationery,,,pcs,,,,35.00,NA,0.00,Inclusive,40.00,24.00,,,,
Lock 32 mm,Stationery,,,pcs,,,,48.00,NA,0.00,Inclusive,50.00,13.00,,,,
Lock 38 mm,Stationery,,,pcs,,,,55.00,NA,0.00,Inclusive,60.00,16.00,,,,
Steel Scale,Stationery,,,pcs,,,,18.33,NA,0.00,Inclusive,30.00,20.00,,,,
Clip Board-100,Stationery,,,pcs,,,,90.00,NA,0.00,Inclusive,100.00,3.00,,,,
Clip Board-70,Stationery,,,pcs,,,,65.00,NA,0.00,Inclusive,70.00,5.00,,,,
Super Glue,Stationery,,,pcs,,,,16.00,NA,0.00,Inclusive,20.00,14.00,,,,
